1001|John Doe|Software Engineer|2023-01-15|85000|Engineering
1002|Jane Smith|Data Analyst|2023-02-01|75000|Analytics
1003|Bob Johnson|Project Manager|2022-12-01|95000|Management
1004|Alice Brown|Software Engineer|2023-03-15|82000|Engineering
1005|Charlie Wilson|Quality Assurance|2023-01-20|70000|QA
1006|Diana Miller|UX Designer|2023-04-01|78000|Design
1007|Frank Davis|DevOps Engineer|2022-11-15|90000|Engineering
1008|Grace Lee|Business Analyst|2023-02-15|72000|Analytics
1009|Henry Taylor|Senior Developer|2022-10-01|100000|Engineering
1010|Ivy Chen|Marketing Manager|2023-05-01|88000|Marketing
